 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 KK246                    	 200357.4-314054 	10	6.85	7.71	7.96	-2.54	         	24.7	-2.23	      
 UGC11583                 	 203015.3+602625 	10	5.89	7.98	8.27	          	-2.72	25.4	3.34	1.54
 KK251                    	 203032.0+602113 	10	5.89	7.7	8.05	          	-2.71	25.4	3.48	1.54
 KK252                    	 203132.6+604848 	10	5.89	7.89	7.04	          	-2.86	24	3.09	1.54
 KKR55                    	 204520.8+602440 	10	5.89	8.17	7.63	          	-2.17	22.9	2.39	1.53
 DDO210                   	 204651.8-125053 	10	0.98	6.78	6.46	-3.86	-5.34	24.6	-0.35	1.35
 ESO238-005               	 222230.1-482418 	10	8.02	8.21	8.35	-1.97	-2.27	25.7	-0.75	0.76
 AM2220-460               	 222343.0-455256 	10	8.8	7.62	7.45	-2.23	         	24.7	2.39	0.77
 AF7448_001               	 225935.3+164611 	10	5	6.95	6.55	-3.24	-3.16	22.9	-1.73	      
 UGCA438                  	 232627.5-322326 	10	2.22	7.59	7.25	-2.65	-3.84	24.1	-0.48	0.53
 Pegasus                  	 232834.1+144448 	10	0.97	7.35	6.74	-3.54	-4.37	25.3	0.67	1.75
 LV J2335-3713            	 233504.1-371314 	10	7.59	7.38	7.19	          	         	24	0.4	0.6
 PGC680341                	 234147.5-330841 	10	6.66	7.23	6.94	-2.81	         	23.5	-1.53	      
 KKH98                    	 234534.0+384304 	10	2.58	6.63	6.49	-3.27	-3.57	25.1	-1.01	0
 ESO149-003               	 235202.8-523439 	10	7.01	7.95	7.9	-1.79	-2.23	25.6	-1.85	      
 PGC704814                	 235840.7-312803 	10	3.6	6.9	 <6.24  	          	         	24.3	2.06	1.76
 HIJASS J1021+6842        	 102100.2+684200 	11	3.7	       	7.51	          	-4.13	      	2.46	1.89
 CVnHI                    	 122043.4+461233 	11	7.66	       	6.58	-5.15	         	      	2.41	1.77
 GBT 1355+5439            	 135450.6+543850 	11	6.95	       	7.1	          	         	      	2.29	1.56
 HIZOA J1353-58           	 135321.9-580317 	    	2.1	       	6.64	          	         	      	-0.8	-0.22

